v(SL),v(SW),v(PL),v(PW),Iris Class,,v'(SL),v'(SW),v'(PL),v'(PW),Iris Class
5.1,3.5,1.4,0.2,Iris-setosa,,0.222222222,0.625,0.06779661,0.041666667,0
4.9,3,1.4,0.2,Iris-setosa,,0.166666667,0.416666667,0.06779661,0.041666667,0
4.7,3.2,1.3,0.2,Iris-setosa,,0.111111111,0.5,0.050847458,0.041666667,0
4.6,3.1,1.5,0.2,Iris-setosa,,0.083333333,0.458333333,0.084745763,0.041666667,0
5,3.6,1.4,0.2,Iris-setosa,,0.194444444,0.666666667,0.06779661,0.041666667,0
5.4,3.9,1.7,0.4,Iris-setosa,,0.305555556,0.791666667,0.118644068,0.125,0
4.6,3.4,1.4,0.3,Iris-setosa,,0.083333333,0.583333333,0.06779661,0.083333333,0
5,3.4,1.5,0.2,Iris-setosa,,0.194444444,0.583333333,0.084745763,0.041666667,0
4.4,2.9,1.4,0.2,Iris-setosa,,0.027777778,0.375,0.06779661,0.041666667,0
4.9,3.1,1.5,0.1,Iris-setosa,,0.166666667,0.458333333,0.084745763,0,0
5.4,3.7,1.5,0.2,Iris-setosa,,0.305555556,0.708333333,0.084745763,0.041666667,0
4.8,3.4,1.6,0.2,Iris-setosa,,0.138888889,0.583333333,0.101694915,0.041666667,0
4.8,3,1.4,0.1,Iris-setosa,,0.138888889,0.416666667,0.06779661,0,0
4.3,3,1.1,0.1,Iris-setosa,,0,0.416666667,0.016949153,0,0
5.8,4,1.2,0.2,Iris-setosa,,0.416666667,0.833333333,0.033898305,0.041666667,0
5.7,4.4,1.5,0.4,Iris-setosa,,0.388888889,1,0.084745763,0.125,0
5.4,3.9,1.3,0.4,Iris-setosa,,0.305555556,0.791666667,0.050847458,0.125,0
5.1,3.5,1.4,0.3,Iris-setosa,,0.222222222,0.625,0.06779661,0.083333333,0
5.7,3.8,1.7,0.3,Iris-setosa,,0.388888889,0.75,0.118644068,0.083333333,0
5.1,3.8,1.5,0.3,Iris-setosa,,0.222222222,0.75,0.084745763,0.083333333,0
5.4,3.4,1.7,0.2,Iris-setosa,,0.305555556,0.583333333,0.118644068,0.041666667,0
5.1,3.7,1.5,0.4,Iris-setosa,,0.222222222,0.708333333,0.084745763,0.125,0
4.6,3.6,1,0.2,Iris-setosa,,0.083333333,0.666666667,0,0.041666667,0
5.1,3.3,1.7,0.5,Iris-setosa,,0.222222222,0.541666667,0.118644068,0.166666667,0
4.8,3.4,1.9,0.2,Iris-setosa,,0.138888889,0.583333333,0.152542373,0.041666667,0
5,3,1.6,0.2,Iris-setosa,,0.194444444,0.416666667,0.101694915,0.041666667,0
5,3.4,1.6,0.4,Iris-setosa,,0.194444444,0.583333333,0.101694915,0.125,0
5.2,3.5,1.5,0.2,Iris-setosa,,0.25,0.625,0.084745763,0.041666667,0
5.2,3.4,1.4,0.2,Iris-setosa,,0.25,0.583333333,0.06779661,0.041666667,0
4.7,3.2,1.6,0.2,Iris-setosa,,0.111111111,0.5,0.101694915,0.041666667,0
4.8,3.1,1.6,0.2,Iris-setosa,,0.138888889,0.458333333,0.101694915,0.041666667,0
5.4,3.4,1.5,0.4,Iris-setosa,,0.305555556,0.583333333,0.084745763,0.125,0
5.2,4.1,1.5,0.1,Iris-setosa,,0.25,0.875,0.084745763,0,0
5.5,4.2,1.4,0.2,Iris-setosa,,0.333333333,0.916666667,0.06779661,0.041666667,0
4.9,3.1,1.5,0.1,Iris-setosa,,0.166666667,0.458333333,0.084745763,0,0
5,3.2,1.2,0.2,Iris-setosa,,0.194444444,0.5,0.033898305,0.041666667,0
5.5,3.5,1.3,0.2,Iris-setosa,,0.333333333,0.625,0.050847458,0.041666667,0
4.9,3.1,1.5,0.1,Iris-setosa,,0.166666667,0.458333333,0.084745763,0,0
4.4,3,1.3,0.2,Iris-setosa,,0.027777778,0.416666667,0.050847458,0.041666667,0
5.1,3.4,1.5,0.2,Iris-setosa,,0.222222222,0.583333333,0.084745763,0.041666667,0
5,3.5,1.3,0.3,Iris-setosa,,0.194444444,0.625,0.050847458,0.083333333,0
4.5,2.3,1.3,0.3,Iris-setosa,,0.055555556,0.125,0.050847458,0.083333333,0
4.4,3.2,1.3,0.2,Iris-setosa,,0.027777778,0.5,0.050847458,0.041666667,0
5,3.5,1.6,0.6,Iris-setosa,,0.194444444,0.625,0.101694915,0.208333333,0
5.1,3.8,1.9,0.4,Iris-setosa,,0.222222222,0.75,0.152542373,0.125,0
4.8,3,1.4,0.3,Iris-setosa,,0.138888889,0.416666667,0.06779661,0.083333333,0
5.1,3.8,1.6,0.2,Iris-setosa,,0.222222222,0.75,0.101694915,0.041666667,0
4.6,3.2,1.4,0.2,Iris-setosa,,0.083333333,0.5,0.06779661,0.041666667,0
5.3,3.7,1.5,0.2,Iris-setosa,,0.277777778,0.708333333,0.084745763,0.041666667,0
5,3.3,1.4,0.2,Iris-setosa,,0.194444444,0.541666667,0.06779661,0.041666667,0
7,3.2,4.7,1.4,Iris-versicolor,,0.75,0.5,0.627118644,0.541666667,1
6.4,3.2,4.5,1.5,Iris-versicolor,,0.583333333,0.5,0.593220339,0.583333333,1
6.9,3.1,4.9,1.5,Iris-versicolor,,0.722222222,0.458333333,0.661016949,0.583333333,1
5.5,2.3,4,1.3,Iris-versicolor,,0.333333333,0.125,0.508474576,0.5,1
6.5,2.8,4.6,1.5,Iris-versicolor,,0.611111111,0.333333333,0.610169492,0.583333333,1
5.7,2.8,4.5,1.3,Iris-versicolor,,0.388888889,0.333333333,0.593220339,0.5,1
6.3,3.3,4.7,1.6,Iris-versicolor,,0.555555556,0.541666667,0.627118644,0.625,1
4.9,2.4,3.3,1,Iris-versicolor,,0.166666667,0.166666667,0.389830508,0.375,1
6.6,2.9,4.6,1.3,Iris-versicolor,,0.638888889,0.375,0.610169492,0.5,1
5.2,2.7,3.9,1.4,Iris-versicolor,,0.25,0.291666667,0.491525424,0.541666667,1
5,2,3.5,1,Iris-versicolor,,0.194444444,0,0.423728814,0.375,1
5.9,3,4.2,1.5,Iris-versicolor,,0.444444444,0.416666667,0.542372881,0.583333333,1
6,2.2,4,1,Iris-versicolor,,0.472222222,0.083333333,0.508474576,0.375,1
6.1,2.9,4.7,1.4,Iris-versicolor,,0.5,0.375,0.627118644,0.541666667,1
5.6,2.9,3.6,1.3,Iris-versicolor,,0.361111111,0.375,0.440677966,0.5,1
6.7,3.1,4.4,1.4,Iris-versicolor,,0.666666667,0.458333333,0.576271186,0.541666667,1
5.6,3,4.5,1.5,Iris-versicolor,,0.361111111,0.416666667,0.593220339,0.583333333,1
5.8,2.7,4.1,1,Iris-versicolor,,0.416666667,0.291666667,0.525423729,0.375,1
6.2,2.2,4.5,1.5,Iris-versicolor,,0.527777778,0.083333333,0.593220339,0.583333333,1
5.6,2.5,3.9,1.1,Iris-versicolor,,0.361111111,0.208333333,0.491525424,0.416666667,1
5.9,3.2,4.8,1.8,Iris-versicolor,,0.444444444,0.5,0.644067797,0.708333333,1
6.1,2.8,4,1.3,Iris-versicolor,,0.5,0.333333333,0.508474576,0.5,1
6.3,2.5,4.9,1.5,Iris-versicolor,,0.555555556,0.208333333,0.661016949,0.583333333,1
6.1,2.8,4.7,1.2,Iris-versicolor,,0.5,0.333333333,0.627118644,0.458333333,1
6.4,2.9,4.3,1.3,Iris-versicolor,,0.583333333,0.375,0.559322034,0.5,1
6.6,3,4.4,1.4,Iris-versicolor,,0.638888889,0.416666667,0.576271186,0.541666667,1
6.8,2.8,4.8,1.4,Iris-versicolor,,0.694444444,0.333333333,0.644067797,0.541666667,1
6.7,3,5,1.7,Iris-versicolor,,0.666666667,0.416666667,0.677966102,0.666666667,1
6,2.9,4.5,1.5,Iris-versicolor,,0.472222222,0.375,0.593220339,0.583333333,1
5.7,2.6,3.5,1,Iris-versicolor,,0.388888889,0.25,0.423728814,0.375,1
5.5,2.4,3.8,1.1,Iris-versicolor,,0.333333333,0.166666667,0.474576271,0.416666667,1
5.5,2.4,3.7,1,Iris-versicolor,,0.333333333,0.166666667,0.457627119,0.375,1
5.8,2.7,3.9,1.2,Iris-versicolor,,0.416666667,0.291666667,0.491525424,0.458333333,1
6,2.7,5.1,1.6,Iris-versicolor,,0.472222222,0.291666667,0.694915254,0.625,1
5.4,3,4.5,1.5,Iris-versicolor,,0.305555556,0.416666667,0.593220339,0.583333333,1
6,3.4,4.5,1.6,Iris-versicolor,,0.472222222,0.583333333,0.593220339,0.625,1
6.7,3.1,4.7,1.5,Iris-versicolor,,0.666666667,0.458333333,0.627118644,0.583333333,1
6.3,2.3,4.4,1.3,Iris-versicolor,,0.555555556,0.125,0.576271186,0.5,1
5.6,3,4.1,1.3,Iris-versicolor,,0.361111111,0.416666667,0.525423729,0.5,1
5.5,2.5,4,1.3,Iris-versicolor,,0.333333333,0.208333333,0.508474576,0.5,1
5.5,2.6,4.4,1.2,Iris-versicolor,,0.333333333,0.25,0.576271186,0.458333333,1
6.1,3,4.6,1.4,Iris-versicolor,,0.5,0.416666667,0.610169492,0.541666667,1
5.8,2.6,4,1.2,Iris-versicolor,,0.416666667,0.25,0.508474576,0.458333333,1
5,2.3,3.3,1,Iris-versicolor,,0.194444444,0.125,0.389830508,0.375,1
5.6,2.7,4.2,1.3,Iris-versicolor,,0.361111111,0.291666667,0.542372881,0.5,1
5.7,3,4.2,1.2,Iris-versicolor,,0.388888889,0.416666667,0.542372881,0.458333333,1
5.7,2.9,4.2,1.3,Iris-versicolor,,0.388888889,0.375,0.542372881,0.5,1
6.2,2.9,4.3,1.3,Iris-versicolor,,0.527777778,0.375,0.559322034,0.5,1
5.1,2.5,3,1.1,Iris-versicolor,,0.222222222,0.208333333,0.338983051,0.416666667,1
5.7,2.8,4.1,1.3,Iris-versicolor,,0.388888889,0.333333333,0.525423729,0.5,1
6.3,3.3,6,2.5,Iris-virginica,,0.555555556,0.541666667,0.847457627,1,0.5
5.8,2.7,5.1,1.9,Iris-virginica,,0.416666667,0.291666667,0.694915254,0.75,0.5
7.1,3,5.9,2.1,Iris-virginica,,0.777777778,0.416666667,0.830508475,0.833333333,0.5
6.3,2.9,5.6,1.8,Iris-virginica,,0.555555556,0.375,0.779661017,0.708333333,0.5
6.5,3,5.8,2.2,Iris-virginica,,0.611111111,0.416666667,0.813559322,0.875,0.5
7.6,3,6.6,2.1,Iris-virginica,,0.916666667,0.416666667,0.949152542,0.833333333,0.5
4.9,2.5,4.5,1.7,Iris-virginica,,0.166666667,0.208333333,0.593220339,0.666666667,0.5
7.3,2.9,6.3,1.8,Iris-virginica,,0.833333333,0.375,0.898305085,0.708333333,0.5
6.7,2.5,5.8,1.8,Iris-virginica,,0.666666667,0.208333333,0.813559322,0.708333333,0.5
7.2,3.6,6.1,2.5,Iris-virginica,,0.805555556,0.666666667,0.86440678,1,0.5
6.5,3.2,5.1,2,Iris-virginica,,0.611111111,0.5,0.694915254,0.791666667,0.5
6.4,2.7,5.3,1.9,Iris-virginica,,0.583333333,0.291666667,0.728813559,0.75,0.5
6.8,3,5.5,2.1,Iris-virginica,,0.694444444,0.416666667,0.762711864,0.833333333,0.5
5.7,2.5,5,2,Iris-virginica,,0.388888889,0.208333333,0.677966102,0.791666667,0.5
5.8,2.8,5.1,2.4,Iris-virginica,,0.416666667,0.333333333,0.694915254,0.958333333,0.5
6.4,3.2,5.3,2.3,Iris-virginica,,0.583333333,0.5,0.728813559,0.916666667,0.5
6.5,3,5.5,1.8,Iris-virginica,,0.611111111,0.416666667,0.762711864,0.708333333,0.5
7.7,3.8,6.7,2.2,Iris-virginica,,0.944444444,0.75,0.966101695,0.875,0.5
7.7,2.6,6.9,2.3,Iris-virginica,,0.944444444,0.25,1,0.916666667,0.5
6,2.2,5,1.5,Iris-virginica,,0.472222222,0.083333333,0.677966102,0.583333333,0.5
6.9,3.2,5.7,2.3,Iris-virginica,,0.722222222,0.5,0.796610169,0.916666667,0.5
5.6,2.8,4.9,2,Iris-virginica,,0.361111111,0.333333333,0.661016949,0.791666667,0.5
7.7,2.8,6.7,2,Iris-virginica,,0.944444444,0.333333333,0.966101695,0.791666667,0.5
6.3,2.7,4.9,1.8,Iris-virginica,,0.555555556,0.291666667,0.661016949,0.708333333,0.5
6.7,3.3,5.7,2.1,Iris-virginica,,0.666666667,0.541666667,0.796610169,0.833333333,0.5
7.2,3.2,6,1.8,Iris-virginica,,0.805555556,0.5,0.847457627,0.708333333,0.5
6.2,2.8,4.8,1.8,Iris-virginica,,0.527777778,0.333333333,0.644067797,0.708333333,0.5
6.1,3,4.9,1.8,Iris-virginica,,0.5,0.416666667,0.661016949,0.708333333,0.5
6.4,2.8,5.6,2.1,Iris-virginica,,0.583333333,0.333333333,0.779661017,0.833333333,0.5
7.2,3,5.8,1.6,Iris-virginica,,0.805555556,0.416666667,0.813559322,0.625,0.5
